,City Name,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County
448,Exeter,5604,46.5,39116,44.6,55.4,28653,123300," [(['White alone'], ['5,464']), (['Black alone'], ['66']), (['Hispanic'], ['61']), (['Asian alone'], ['26']), (['Two or more races'], ['25']), (['American Indian alone'], ['5']), (['Other race alone'], ['5'])] ",Luzerne-County
449,Export,890,39.4,44263,52.2,47.8,23904,103704," [(['White alone'], ['901']), (['Black alone'], ['6']), (['Asian alone'], ['5']), (['Two or more races'], ['4']), (['Other race alone'], ['1'])] ",Westmoreland-County
450,Exton,4842,39.8,74886,49.3,50.7,45054,336880," [(['White alone'], ['3,602']), (['Asian alone'], ['849']), (['Black alone'], ['194']), (['Two or more races'], ['90']), (['Hispanic'], ['90']), (['Other race alone'], ['10']), (['American Indian alone'], ['7'])] ",Chester-County
451,Factoryville,1214,22.6,57016,42.5,57.5,19614,156244," [(['White alone'], ['1,043']), (['Black alone'], ['48']), (['Hispanic'], ['46']), (['Two or more races'], ['12']), (['Asian alone'], ['8']), (['American Indian alone'], ['1'])] ",Wyoming-County
452,Fairchance,1933,44.3,43376,47.9,52.1,22071,98052," [(['White alone'], ['1,886']), (['Black alone'], ['54']), (['Two or more races'], ['21']), (['Hispanic'], ['11']), (['American Indian alone'], ['3'])] ",Fayette-County
453,Fairdale,2059,41.6,30344,46.7,53.3,25415,131016," [(['White alone'], ['2,029']), (['Two or more races'], ['13']), (['Hispanic'], ['9']), (['Asian alone'], ['6']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Greene-County
454,Fairfield,506,52.8,50573,43.6,56.4,26569,191499," [(['White alone'], ['479']), (['Black alone'], ['12']), (['Hispanic'], ['12']), (['Two or more races'], ['3']), (['Asian alone'], ['1'])] ",Adams-County
455,Fairhope,1151,37.8,43140,48.7,51.3,24029,101700," [(['White alone'], ['1,137']), (['Black alone'], ['6']), (['Two or more races'], ['3']), (['Asian alone'], ['2']), (['Hispanic'], ['2']), (['American Indian alone'], ['1'])] ",Fayette-County
456,Fairless Hills,8466,40.6,64797,49.3,50.7,30983,234144," [(['White alone'], ['7,216']), (['Asian alone'], ['470']), (['Black alone'], ['316']), (['Hispanic'], ['308']), (['Two or more races'], ['137']), (['Other race alone'], ['12']), (['American Indian alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Bucks-County
457,Fairview-Ferndale,2139,47.2,40628,48.2,51.8,24061,67829," [(['White alone'], ['2,093']), (['Hispanic'], ['23']), (['Two or more races'], ['11']), (['Black alone'], ['9']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Northumberland-County
458,Falls Creek,1024,39.4,47513,52.1,47.9,22073,75578," [(['White alone'], ['1,006']), (['Two or more races'], ['13']), (['Hispanic'], ['10']), (['Black alone'], ['4']), (['American Indian alone'], ['2']), (['Asian alone'], ['2'])] ",Jefferson-County
459,Fallston,259,42.4,41905,49.8,50.2,25894,82026," [(['White alone'], ['251']), (['Black alone'], ['7']), (['Two or more races'], ['6']), (['Hispanic'], ['2'])] ",Beaver-County
460,Falmouth,420,38.9,61335,40.5,59.5,29740,196400," [(['White alone'], ['412']), (['Hispanic'], ['6']), (['American Indian alone'], ['1']), (['Two or more races'], ['1'])] ",Lancaster-County
461,Farmersville,991,54.8,61335,35.9,64.1,29740,196400," [(['White alone'], ['978']), (['Hispanic'], ['10']), (['Two or more races'], ['2']), (['Black alone'], ['1'])] ",Lancaster-County
462,Farmington,767,39.1,43140,53.2,46.8,24029,101700," [(['White alone'], ['755']), (['Hispanic'], ['4']), (['Asian alone'], ['3']), (['Other race alone'], ['2']), (['Two or more races'], ['2']), (['Black alone'], ['1'])] ",Fayette-County
463,Farrell,4829,40.9,34441,47.2,52.8,17953,63648," [(['Black alone'], ['2,463']), (['White alone'], ['2,300']), (['Two or more races'], ['241']), (['Hispanic'], ['72']), (['Other race alone'], ['14']), (['American Indian alone'], ['12']), (['Asian alone'], ['8']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Mercer-County
464,Fawn Grove,455,37.2,64665,48.3,51.7,27309,178439," [(['White alone'], ['446']), (['Two or more races'], ['2']), (['Hispanic'], ['2']), (['Asian alone'], ['1']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",York-County
465,Fawn Lake Forest,755,56.9,63442,48.4,51.6,30813,187492," [(['White alone'], ['682']), (['Black alone'], ['31']), (['Hispanic'], ['25']), (['Other race alone'], ['6']), (['Two or more races'], ['6']), (['Asian alone'], ['4']), (['American Indian alone'], ['1'])] ",Pike-County
466,Faxon,1395,50.1,49052,51.0,49.0,25222,152800," [(['White alone'], ['1,340']), (['Black alone'], ['18']), (['Asian alone'], ['16']), (['Hispanic'], ['13']), (['Two or more races'], ['6']), (['American Indian alone'], ['2'])] ",Lycoming-County
467,Fayette City,586,35.9,35121,47.2,52.8,16498,78928," [(['White alone'], ['577']), (['Hispanic'], ['9']), (['Asian alone'], ['6']), (['Two or more races'], ['3']), (['Black alone'], ['1'])] ",Fayette-County
468,Fayetteville,3128,47.4,49180,54.7,45.3,26699,142244," [(['White alone'], ['2,807']), (['Black alone'], ['116']), (['Hispanic'], ['116']), (['Two or more races'], ['55']), (['Asian alone'], ['20']), (['American Indian alone'], ['10']), (['Other race alone'], ['4'])] ",Franklin-County
469,Feasterville-Trevose,6763,36.1,66862,50.2,49.8,32952,279586," [(['White alone'], ['6,067']), (['Hispanic'], ['149']), (['Black alone'], ['128']), (['Asian alone'], ['128']), (['Two or more races'], ['47']), (['Other race alone'], ['4']), (['American Indian alone'], ['2'])] ",Bucks-County
470,Feasterville,3074,31.9,79936,49.7,50.3,40787,322400," [(['White alone'], ['2,671']), (['Hispanic'], ['139']), (['Black alone'], ['113']), (['Asian alone'], ['101']), (['Two or more races'], ['42']), (['Other race alone'], ['6']), (['American Indian alone'], ['2'])] ",Bucks-County
471,Fellsburg,1180,56.1,56722,52.2,47.8,30677,149700," [(['White alone'], ['1,140']), (['Hispanic'], ['20']), (['Two or more races'], ['9']), (['Black alone'], ['8']), (['Asian alone'], ['3'])] ",Westmoreland-County
472,Felton,507,39.5,59789,50.7,49.3,24524,156875," [(['White alone'], ['492']), (['Hispanic'], ['8']), (['Black alone'], ['3']), (['Two or more races'], ['3'])] ",York-County
473,Ferndale,1575,38.8,43185,48.4,51.6,20003,71903," [(['White alone'], ['1,567']), (['Two or more races'], ['23']), (['Hispanic'], ['23']), (['Black alone'], ['19']), (['American Indian alone'], ['2']), (['Asian alone'], ['2'])] ",Cambria-County
474,Fernville,556,55.4,46896,52.8,47.2,35103,185851," [(['White alone'], ['536']), (['Hispanic'], ['8']), (['Asian alone'], ['6']), (['Two or more races'], ['3']), (['Other race alone'], ['2']), (['Black alone'], ['1'])] ",Columbia-County
475,Fernway,12414,38.6,98868,51.1,48.9,44420,233852," [(['White alone'], ['11,564']), (['Asian alone'], ['315']), (['Hispanic'], ['236']), (['Black alone'], ['148']), (['Two or more races'], ['136']), (['American Indian alone'], ['8']), (['Other race alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Butler-County
476,Finleyville,450,32.1,32448,48.9,51.1,26455,105830," [(['White alone'], ['422']), (['Black alone'], ['19']), (['Hispanic'], ['9']), (['Two or more races'], ['5']), (['Asian alone'], ['3']), (['Other race alone'], ['3'])] ",Washington-County
477,Fivepointville,1156,33.5,61335,46.0,54.0,29740,196400," [(['White alone'], ['1,115']), (['Hispanic'], ['23']), (['Asian alone'], ['15']), (['Two or more races'], ['2']), (['Black alone'], ['1'])] ",Lancaster-County
478,Fleetwood,4078,38.1,71137,49.5,50.5,33671,159699," [(['White alone'], ['3,843']), (['Hispanic'], ['138']), (['Two or more races'], ['38']), (['Black alone'], ['32']), (['Asian alone'], ['29']), (['American Indian alone'], ['4']), (['Other race alone'], ['1'])] ",Berks-County
479,Flemington,1341,41.3,41898,46.1,53.9,22866,112745," [(['White alone'], ['1,276']), (['Asian alone'], ['19']), (['Two or more races'], ['15']), (['Black alone'], ['10']), (['Hispanic'], ['10'])] ",Clinton-County
480,Flourtown,4538,41.8,107449,48.3,51.7,44646,356064," [(['White alone'], ['4,054']), (['Black alone'], ['240']), (['Asian alone'], ['95']), (['Hispanic'], ['83']), (['Two or more races'], ['59']), (['Other race alone'], ['4']), (['American Indian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Montgomery-County
481,Flying Hills,2568,48.9,61899,41.3,58.7,44775,170870," [(['White alone'], ['2,328']), (['Hispanic'], ['94']), (['Black alone'], ['69']), (['Asian alone'], ['53']), (['Two or more races'], ['18']), (['Other race alone'], ['4']), (['American Indian alone'], ['2'])] ",Berks-County
482,Folcroft,6636,35.2,62004,50.4,49.6,24482,115592," [(['White alone'], ['4,301']), (['Black alone'], ['1,671']), (['Hispanic'], ['302']), (['Asian alone'], ['190']), (['Two or more races'], ['125']), (['American Indian alone'], ['9']), (['Other race alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Delaware-County
483,Folsom,8323,37.5,83913,51.2,48.8,34986,207984," [(['White alone'], ['7,310']), (['Hispanic'], ['417']), (['Black alone'], ['256']), (['Asian alone'], ['242']), (['Other race alone'], ['79']), (['American Indian alone'], ['56']), (['Two or more races'], ['49'])] ",Delaware-County
484,Foot of Ten,672,52.0,43443,49.3,50.7,24821,114700," [(['White alone'], ['660']), (['Two or more races'], ['5']), (['Black alone'], ['3']), (['Hispanic'], ['3']), (['Asian alone'], ['1'])] ",Blair-County
485,Force,253,28.7,49673,41.4,58.6,26723,95719," [(['White alone'], ['249']), (['Hispanic'], ['3']), (['Two or more races'], ['1'])] ",Elk-County
486,Ford City,2914,46.6,33630,45.2,54.8,22729,60038," [(['White alone'], ['2,838']), (['Black alone'], ['86']), (['Hispanic'], ['32']), (['Two or more races'], ['30']), (['American Indian alone'], ['3']), (['Asian alone'], ['2'])] ",Armstrong-County
487,Ford Cliff,366,51.3,49933,48.5,51.5,22641,82354," [(['White alone'], ['356']), (['Asian alone'], ['7']), (['Black alone'], ['3']), (['Two or more races'], ['3']), (['Hispanic'], ['2'])] ",Armstrong-County
488,Forest City,1824,43.9,38572,45.2,54.8,22014,101636," [(['White alone'], ['1,828']), (['Hispanic'], ['28']), (['Two or more races'], ['22']), (['Black alone'], ['18']), (['Asian alone'], ['11']), (['American Indian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Susquehanna-County
489,Forest Hills,6477,48.2,65648,45.7,54.3,39485,134076," [(['White alone'], ['5,658']), (['Black alone'], ['596']), (['Two or more races'], ['85']), (['Hispanic'], ['86']), (['Asian alone'], ['77']), (['Other race alone'], ['11']), (['American Indian alone'], ['5'])] ",Allegheny-County
490,Forestville,435,46.7,50684,48.0,52.0,25430,97600," [(['White alone'], ['432']), (['Asian alone'], ['1']), (['Two or more races'], ['1']), (['Hispanic'], ['1'])] ",Schuylkill-County
491,Forrestville,422,45.6,54492,46.9,53.1,30402,86450,*,Schuylkill-County
492,Fort Loudon,886,50.7,60559,49.3,50.7,30949,174700," [(['White alone'], ['852']), (['Hispanic'], ['18']), (['Two or more races'], ['8']), (['Black alone'], ['4']), (['Asian alone'], ['3']), (['American Indian alone'], ['1'])] ",Franklin-County
493,Fort Washington,5446,43.1,117954,47.3,52.7,57154,432677," [(['White alone'], ['5,258']), (['Asian alone'], ['273']), (['Black alone'], ['253']), (['Hispanic'], ['114']), (['Two or more races'], ['55']), (['American Indian alone'], ['9'])] ",Montgomery-County
494,Forty Fort,4144,43.6,56410,47.9,52.1,33235,134791," [(['White alone'], ['4,051']), (['Hispanic'], ['57']), (['Black alone'], ['41']), (['Asian alone'], ['32']), (['Two or more races'], ['30']), (['Other race alone'], ['2']), (['American Indian alone'], ['1'])] ",Luzerne-County
495,Foster Brook,1251,48.4,45637,54.8,45.2,25218,78900," [(['White alone'], ['1,216']), (['Hispanic'], ['12']), (['American Indian alone'], ['9']), (['Asian alone'], ['8']), (['Black alone'], ['3']), (['Two or more races'], ['3'])] ",McKean-County
496,Foundryville,256,63.1,43049,43.6,56.4,27073,87533," [(['White alone'], ['247']), (['Hispanic'], ['5']), (['Two or more races'], ['4'])] ",Columbia-County
497,Fountain Hill,4622,42.9,48023,46.8,53.2,31896,136875," [(['White alone'], ['3,199']), (['Hispanic'], ['1,033']), (['Black alone'], ['242']), (['Two or more races'], ['84']), (['Asian alone'], ['29']), (['Other race alone'], ['6']), (['American Indian alone'], ['4'])] ",Lehigh-County
498,Fountain Springs,278,46.6,78663,47.4,52.6,13681,87143," [(['White alone'], ['267']), (['Black alone'], ['5']), (['Hispanic'], ['4']), (['American Indian alone'], ['1']), (['Two or more races'], ['1'])] ",Schuylkill-County
499,Fox Chapel,5401,48.6,153426,49.0,51.0,91854,600439," [(['White alone'], ['4,883']), (['Asian alone'], ['307']), (['Hispanic'], ['75']), (['Two or more races'], ['64']), (['Black alone'], ['45']), (['Other race alone'], ['9']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3']), (['American Indian alone'], ['2'])]",Allegheny-County
500,Fox Chase,1622,56.8,60331,46.3,53.7,32143,167500," [(['White alone'], ['1,430']), (['Hispanic'], ['86']), (['Black alone'], ['49']), (['Asian alone'], ['27']), (['Two or more races'], ['27']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Dauphin-County
501,Fox Run,3282,36.9,107050,49.4,50.6,42783,268828," [(['White alone'], ['3,107']), (['Asian alone'], ['58']), (['Hispanic'], ['47']), (['Two or more races'], ['32']), (['Black alone'], ['29']), (['American Indian alone'], ['5']), (['Other race alone'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Butler-County
502,Frackville,3739,43.0,53564,48.4,51.6,24268,70329," [(['White alone'], ['3,696']), (['Hispanic'], ['40']), (['Asian alone'], ['34']), (['Black alone'], ['12']), (['Two or more races'], ['11']), (['Other race alone'], ['8']), (['American Indian alone'], ['4'])] ",Schuylkill-County
503,Franklin Park,14269,42.7,125652,51.5,48.5,55242,341701," [(['White alone'], ['11,923']), (['Asian alone'], ['1,561']), (['Two or more races'], ['289']), (['Hispanic'], ['221']), (['Black alone'], ['138']), (['Other race alone'], ['53']), (['American Indian alone'], ['24'])] ",Allegheny-County
504,Franklintown,487,31.6,44108,59.1,40.9,24629,111396," [(['White alone'], ['459']), (['Hispanic'], ['12']), (['Two or more races'], ['8']), (['Black alone'], ['7']), (['Asian alone'], ['2']), (['Other race alone'], ['1'])] ",York-County
505,Franklin,6350,43.5,37178,43.4,56.6,23436,70387," [(['White alone'], ['6,060']), (['Black alone'], ['177']), (['Two or more races'], ['154']), (['Hispanic'], ['83']), (['Asian alone'], ['47']), (['American Indian alone'], ['18']), (['Other race alone'], ['6'])] ",Venango-County
506,Fredericksburg,733,40.4,41099,46.5,53.5,23434,119973," [(['White alone'], ['702']), (['Black alone'], ['11']), (['Hispanic'], ['10']), (['Two or more races'], ['4']), (['American Indian alone'], ['3']), (['Asian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Crawford-County
507,Fredericktown-Millsboro,1109,40.0,38688,47.5,52.5,21732,101943," [(['White alone'], ['1,067']), (['Black alone'], ['11']), (['Two or more races'], ['9']), (['Hispanic'], ['4']), (['American Indian alone'], ['3'])] ",Washington-County
508,Fredericktown,403,34.0,57998,47.8,52.2,32270,167100," [(['White alone'], ['371']), (['Black alone'], ['20']), (['Two or more races'], ['6']), (['Hispanic'], ['5']), (['American Indian alone'], ['1'])] ",Washington-County
509,Fredonia,487,36.1,43180,46.3,53.7,18980,76315," [(['White alone'], ['483']), (['Hispanic'], ['10']), (['Two or more races'], ['7']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Mercer-County
510,Freeburg,574,37.7,58168,50.9,49.1,25823,140152," [(['White alone'], ['567']), (['Two or more races'], ['5']), (['Black alone'], ['1']), (['Asian alone'], ['1']), (['Hispanic'], ['1'])] ",Snyder-County
511,Freedom,1537,39.2,40205,52.2,47.8,20488,71468," [(['White alone'], ['1,431']), (['Black alone'], ['64']), (['Two or more races'], ['40']), (['Hispanic'], ['25']), (['Asian alone'], ['9'])] ",Beaver-County
512,Freeland,3472,39.8,49309,40.8,59.2,22944,91326," [(['White alone'], ['3,259']), (['Hispanic'], ['205']), (['Two or more races'], ['30']), (['Black alone'], ['16']), (['Asian alone'], ['18']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Luzerne-County
513,Freemansburg,2624,37.6,63824,50.8,49.2,26915,165940," [(['White alone'], ['1,575']), (['Hispanic'], ['632']), (['Black alone'], ['334']), (['Two or more races'], ['54']), (['Asian alone'], ['22']), (['Other race alone'], ['10']), (['American Indian alone'], ['8']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Northampton-County
514,Freeport,1766,39.1,43501,49.9,50.1,22454,78404," [(['White alone'], ['1,741']), (['Two or more races'], ['29']), (['Hispanic'], ['20']), (['Black alone'], ['9']), (['Other race alone'], ['5']), (['Asian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['4']), (['American Indian alone'], ['2'])]",Armstrong-County
515,Friedensburg,858,52.2,56028,53.5,46.5,33556,87825," [(['White alone'], ['842']), (['Hispanic'], ['7']), (['Two or more races'], ['6']), (['Asian alone'], ['2']), (['Black alone'], ['1'])] ",Schuylkill-County
516,Friedens,1523,41.4,52849,47.7,52.3,22380,105450," [(['White alone'], ['1,515']), (['Two or more races'], ['3']), (['Asian alone'], ['2']), (['Hispanic'], ['2']), (['American Indian alone'], ['1'])] ",Somerset-County
517,Frizzleburg,602,55.4,46918,58.3,41.7,27772,107200," [(['White alone'], ['577']), (['Two or more races'], ['14']), (['Black alone'], ['6']), (['Hispanic'], ['5'])] ",Lawrence-County
518,Frystown,380,36.5,59286,61.5,38.5,29321,174800," [(['White alone'], ['343']), (['Hispanic'], ['24']), (['Asian alone'], ['6']), (['Two or more races'], ['4']), (['Black alone'], ['3'])] ",Berks-County
519,Fullerton,14925,36.0,53614,48.8,51.2,27640,176780," [(['White alone'], ['9,055']), (['Hispanic'], ['3,901']), (['Asian alone'], ['1,320']), (['Black alone'], ['1,177']), (['Two or more races'], ['177']), (['Other race alone'], ['74']), (['American Indian alone'], ['36'])] ",Lehigh-County
520,Galeton,1133,42.1,42503,47.0,53.0,22141,84299," [(['White alone'], ['1,107']), (['Two or more races'], ['15']), (['Hispanic'], ['12']), (['Black alone'], ['10']), (['Asian alone'], ['5'])] ",Potter-County
521,Gallitzin,1622,38.9,40411,48.0,52.0,21562,75398," [(['White alone'], ['1,620']), (['Hispanic'], ['25']), (['Black alone'], ['10']), (['Two or more races'], ['10']), (['Other race alone'], ['2']), (['Asian alone'], ['1'])] ",Cambria-County
522,Gap,1931,36.7,76163,49.6,50.4,29671,265048," [(['White alone'], ['1,800']), (['Hispanic'], ['49']), (['Asian alone'], ['31']), (['Two or more races'], ['25']), (['Black alone'], ['24']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Lancaster-County
523,Garden View,2503,45.5,43022,44.0,56.0,23269,135473," [(['White alone'], ['2,393']), (['Black alone'], ['35']), (['Two or more races'], ['27']), (['Hispanic'], ['24']), (['Asian alone'], ['17']), (['American Indian alone'], ['4']), (['Other race alone'], ['3'])] ",Lycoming-County
524,Garrett,441,39.8,39035,51.9,48.1,17845,71690," [(['White alone'], ['453']), (['Hispanic'], ['2']), (['Two or more races'], ['1'])] ",Somerset-County
525,Gastonville,2818,53.0,55303,49.4,50.6,28464,127360," [(['White alone'], ['2,740']), (['Hispanic'], ['26']), (['Black alone'], ['18']), (['Two or more races'], ['18']), (['Asian alone'], ['11']), (['American Indian alone'], ['4']), (['Other race alone'], ['1'])] ",Washington-County
526,Geistown,2390,48.3,61976,48.8,51.2,33704,115426," [(['White alone'], ['2,390']), (['Asian alone'], ['36']), (['Hispanic'], ['17']), (['Black alone'], ['12']), (['Two or more races'], ['12'])] ",Cambria-County
527,Gettysburg,7633,23.5,37843,47.9,52.1,17877,232709," [(['White alone'], ['6,066']), (['Hispanic'], ['834']), (['Black alone'], ['411']), (['Asian alone'], ['142']), (['Two or more races'], ['143']), (['American Indian alone'], ['13']), (['Other race alone'], ['11'])] ",Adams-County
528,Gibraltar,680,49.0,59286,41.5,58.5,29321,174800," [(['White alone'], ['642']), (['Hispanic'], ['18']), (['Two or more races'], ['9']), (['Asian alone'], ['6']), (['American Indian alone'], ['4']), (['Black alone'], ['1'])] ",Berks-County
529,Gibsonia,2733,39.3,56140,46.2,53.8,34440,147100," [(['White alone'], ['2,628']), (['Hispanic'], ['35']), (['Asian alone'], ['24']), (['Two or more races'], ['23']), (['Black alone'], ['18']), (['American Indian alone'], ['5'])] ",Allegheny-County
530,Gilberton,754,38.2,44552,57.4,42.6,17041,33422," [(['White alone'], ['741']), (['Hispanic'], ['22']), (['Two or more races'], ['6'])] ",Schuylkill-County
531,Gilbertsville,4832,41.9,72211,45.9,54.1,32625,271496," [(['White alone'], ['4,533']), (['Hispanic'], ['117']), (['Black alone'], ['68']), (['Two or more races'], ['56']), (['Asian alone'], ['52']), (['American Indian alone'], ['4']), (['Other race alone'], ['2'])] ",Montgomery-County
532,Girardville,1490,43.2,39384,51.3,48.7,19111,30859," [(['White alone'], ['1,464']), (['Hispanic'], ['25']), (['Black alone'], ['16']), (['Two or more races'], ['9']), (['American Indian alone'], ['4']), (['Other race alone'], ['1'])] ",Schuylkill-County
533,Girard,3041,39.3,55306,46.1,53.9,28567,118908," [(['White alone'], ['3,006']), (['Two or more races'], ['30']), (['Hispanic'], ['22']), (['Black alone'], ['18']), (['Asian alone'], ['18']), (['American Indian alone'], ['9']), (['Other race alone'], ['1'])] ",Erie-County
534,Glassport,4444,41.2,39228,48.5,51.5,21044,60526," [(['White alone'], ['4,268']), (['Black alone'], ['75']), (['Hispanic'], ['57']), (['Two or more races'], ['56']), (['American Indian alone'], ['10']), (['Asian alone'], ['11']), (['Other race alone'], ['4']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Allegheny-County
535,Glen Campbell,238,32.6,39517,54.3,45.7,18382,75076," [(['White alone'], ['240']), (['Asian alone'], ['2']), (['American Indian alone'], ['1']), (['Two or more races'], ['1']), (['Hispanic'], ['1'])] ",Indiana-County
536,Glen Lyon,1873,38.0,32815,53.1,46.9,19974,74640," [(['White alone'], ['1,745']), (['Hispanic'], ['60']), (['Two or more races'], ['34']), (['Black alone'], ['32']), (['Asian alone'], ['2'])] ",Luzerne-County
537,Glen Osborne,541,45.3,56140,45.6,54.4,34440,147100," [(['White alone'], ['520']), (['Asian alone'], ['10']), (['Black alone'], ['9']), (['Two or more races'], ['5']), (['Hispanic'], ['3'])] ",Allegheny-County
538,Glen Rock,2019,39.5,66819,52.0,48.0,29899,164233," [(['White alone'], ['1,894']), (['Hispanic'], ['46']), (['Black alone'], ['43']), (['Two or more races'], ['26']), (['American Indian alone'], ['8']), (['Asian alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",York-County
539,Glenburn,953,49.5,69296,51.6,48.4,53892,240968," [(['White alone'], ['888']), (['Hispanic'], ['26']), (['Two or more races'], ['21']), (['Asian alone'], ['11']), (['Black alone'], ['6']), (['American Indian alone'], ['1'])] ",Lackawanna-County
540,Glendon,441,35.2,64185,41.9,58.1,29733,178430," [(['White alone'], ['343']), (['Black alone'], ['40']), (['Hispanic'], ['27']), (['Asian alone'], ['19']), (['Two or more races'], ['11'])] ",Northampton-County
541,Glenfield,214,33.4,79268,44.2,55.8,32005,145896," [(['White alone'], ['193']), (['Asian alone'], ['5']), (['Two or more races'], ['3']), (['American Indian alone'], ['2']), (['Other race alone'], ['1']), (['Hispanic'], ['1'])] ",Allegheny-County
542,Glenolden,7174,40.9,61738,45.4,54.6,29068,156655," [(['White alone'], ['6,015']), (['Black alone'], ['584']), (['Hispanic'], ['252']), (['Two or more races'], ['140']), (['Asian alone'], ['83']), (['American Indian alone'], ['16']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['16'])]",Delaware-County
543,Glenshaw,8981,45.8,56140,49.2,50.8,34440,147100," [(['White alone'], ['8,730']), (['Black alone'], ['59']), (['Asian alone'], ['62']), (['Two or more races'], ['61']), (['Hispanic'], ['60']), (['Other race alone'], ['4']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2'])]",Allegheny-County
544,Glenside,8384,36.6,85995,45.5,54.5,38092,275368," [(['White alone'], ['7,163']), (['Black alone'], ['597']), (['Hispanic'], ['242']), (['Asian alone'], ['231']), (['Two or more races'], ['121']), (['American Indian alone'], ['16']), (['Other race alone'], ['13']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Montgomery-County
545,Gold Key Lake,1830,42.0,63442,51.1,48.9,30813,187492," [(['White alone'], ['1,542']), (['Hispanic'], ['191']), (['Black alone'], ['66']), (['Two or more races'], ['18']), (['Asian alone'], ['8']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2'])]",Pike-County
546,Goldsboro,939,33.6,62491,45.1,54.9,23975,156568," [(['White alone'], ['974']), (['Two or more races'], ['53']), (['Hispanic'], ['19']), (['Asian alone'], ['17']), (['American Indian alone'], ['11']), (['Black alone'], ['3'])] ",York-County
547,Goodville,482,19.5,61335,51.2,48.8,29740,196400," [(['White alone'], ['453']), (['Hispanic'], ['14']), (['Black alone'], ['7']), (['Asian alone'], ['3']), (['Other race alone'], ['3']), (['Two or more races'], ['2'])] ",Lancaster-County
548,Gordonville,508,58.5,61335,45.1,54.9,29740,196400," [(['White alone'], ['482']), (['Black alone'], ['11']), (['Hispanic'], ['10']), (['Two or more races'], ['5'])] ",Lancaster-County
549,Gordon,748,35.9,59646,51.0,49.0,27424,98318," [(['White alone'], ['739']), (['Hispanic'], ['19']), (['Black alone'], ['4']), (['American Indian alone'], ['1'])] ",Schuylkill-County
550,Gouglersville,548,48.3,59286,53.7,46.3,29321,174800," [(['White alone'], ['522']), (['Hispanic'], ['17']), (['Black alone'], ['5']), (['Two or more races'], ['3']), (['Asian alone'], ['1'])] ",Berks-County
551,Gouldsboro,890,44.2,52449,51.8,48.2,25902,181160," [(['White alone'], ['827']), (['Hispanic'], ['36']), (['Asian alone'], ['12']), (['Black alone'], ['9']), (['Two or more races'], ['4']), (['American Indian alone'], ['1']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Wayne-County
552,Graceton,257,53.4,42962,60.1,39.9,24215,116400," [(['White alone'], ['250']), (['Black alone'], ['3']), (['Two or more races'], ['2']), (['Asian alone'], ['1']), (['Hispanic'], ['1'])] ",Indiana-County
553,Grampian,343,32.9,53389,49.3,50.7,18325,72786," [(['White alone'], ['375']), (['Two or more races'], ['23']), (['Hispanic'], ['18']), (['Black alone'], ['11']), (['American Indian alone'], ['2']), (['Asian alone'], ['2'])] ",Clearfield-County
554,Grantley,3628,21.1,84629,44.8,55.2,27600,245889," [(['White alone'], ['3,269']), (['Hispanic'], ['142']), (['Black alone'], ['137']), (['Asian alone'], ['43']), (['Two or more races'], ['30']), (['American Indian alone'], ['7'])] ",York-County
555,Granville,440,39.4,43559,43.2,56.8,22481,103505," [(['White alone'], ['427']), (['Black alone'], ['7']), (['Two or more races'], ['5']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Mifflin-County
