,City,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County,Higher Degree,H.S Diploma,No H.S Diploma,ZipCode,Lat,Long
297,Coraopolis,5624,41.5,41092,48.9,51.1,24207,99818," [(['White alone'], ['4,670']), (['Black alone'], ['671']), (['Two or more races'], ['173']), (['Hispanic'], ['104']), (['Asian alone'], ['20']), (['Other race alone'], ['22']), (['American Indian alone'], ['10']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['7'])]",Allegheny-County,48.55362,45.314107,6.1322730000000005,15108,40.51,-80.16
298,Curtisville,1064,39.5,38915,50.5,49.5,27256,88435," [(['White alone'], ['1,036']), (['Two or more races'], ['9']), (['Hispanic'], ['7']), (['American Indian alone'], ['6']), (['Black alone'], ['4']), (['Asian alone'], ['2'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15032,40.64,-79.84
299,Dravosburg,1774,50.7,42669,46.6,53.4,28107,65451," [(['White alone'], ['1,676']), (['Black alone'], ['51']), (['Two or more races'], ['28']), (['Hispanic'], ['19']), (['American Indian alone'], ['13']), (['Asian alone'], ['5'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15034,40.35,-79.88
300,Duquesne,5521,32.8,22200,47.3,52.7,19817,39402," [(['Black alone'], ['3,088']), (['White alone'], ['1,588']), (['Two or more races'], ['744']), (['Hispanic'], ['82']), (['Other race alone'], ['76']), (['Asian alone'], ['5']), (['American Indian alone'], ['1'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15110,40.37,-79.85
301,East Pittsburgh,1804,31.7,26540,46.0,54.0,15459,47282," [(['White alone'], ['876']), (['Black alone'], ['811']), (['Two or more races'], ['76']), (['Hispanic'], ['46']), (['Other race alone'], ['8']), (['Asian alone'], ['4']), (['American Indian alone'], ['1'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15112,40.39,-79.83
302,Elizabeth,1497,44.6,38228,46.3,53.7,24078,89092," [(['White alone'], ['1,359']), (['Black alone'], ['72']), (['Two or more races'], ['38']), (['Hispanic'], ['19']), (['Asian alone'], ['3']), (['American Indian alone'], ['2'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15037,40.27,-79.88
303,Gibsonia,2733,39.3,56140,46.2,53.8,34440,147100," [(['White alone'], ['2,628']), (['Hispanic'], ['35']), (['Asian alone'], ['24']), (['Two or more races'], ['23']), (['Black alone'], ['18']), (['American Indian alone'], ['5'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15044,40.63,-79.94
304,Glassport,4444,41.2,39228,48.5,51.5,21044,60526," [(['White alone'], ['4,268']), (['Black alone'], ['75']), (['Hispanic'], ['57']), (['Two or more races'], ['56']), (['American Indian alone'], ['10']), (['Asian alone'], ['11']), (['Other race alone'], ['4']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Allegheny-County,48.55362,45.314107,6.1322730000000005,15045,40.32,-79.88
305,Glenshaw,8981,45.8,56140,49.2,50.8,34440,147100," [(['White alone'], ['8,730']), (['Black alone'], ['59']), (['Asian alone'], ['62']), (['Two or more races'], ['61']), (['Hispanic'], ['60']), (['Other race alone'], ['4']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2'])]",Allegheny-County,48.55362,45.314107,6.1322730000000005,15116,40.52,-79.95
306,Greenock,2195,42.7,56140,45.1,54.9,34440,147100," [(['White alone'], ['2,144']), (['Two or more races'], ['20']), (['Hispanic'], ['11']), (['Asian alone'], ['9']), (['Black alone'], ['7']), (['Other race alone'], ['4'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15047,40.24,-79.83
307,Harwick,899,51.6,56140,44.7,55.3,34440,147100," [(['White alone'], ['889']), (['Hispanic'], ['7']), (['Black alone'], ['2']), (['Asian alone'], ['1'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15049,40.56,-79.8
308,Homestead,3133,39.2,25513,45.9,54.1,17610,49690," [(['Black alone'], ['1,849']), (['White alone'], ['1,015']), (['Two or more races'], ['124']), (['Asian alone'], ['96']), (['Hispanic'], ['58']), (['Other race alone'], ['17']), (['American Indian alone'], ['6'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15120,40.4,-79.9
309,Imperial,2541,41.0,56140,50.4,49.6,34440,147100," [(['White alone'], ['2,409']), (['Black alone'], ['53']), (['Two or more races'], ['31']), (['Hispanic'], ['23']), (['Asian alone'], ['20']), (['Other race alone'], ['3']), (['American Indian alone'], ['2'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15126,40.45,-80.25
310,Leetsdale,1206,42.0,47911,47.9,52.1,27644,83182," [(['White alone'], ['1,036']), (['Black alone'], ['90']), (['Two or more races'], ['40']), (['Hispanic'], ['28']), (['Asian alone'], ['18']), (['Other race alone'], ['6'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15056,40.56,-80.21
311,Liberty,2532,45.7,53594,47.6,52.4,26253,81868," [(['White alone'], ['2,476']), (['Black alone'], ['36']), (['Two or more races'], ['17']), (['Hispanic'], ['11']), (['Asian alone'], ['6']), (['American Indian alone'], ['3']), (['Other race alone'], ['2'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,16930,41.55,-77.1
312,Monroeville,28285,44.2,56140,48.5,51.5,34440,147100," [(['White alone'], ['21,163']), (['Black alone'], ['3,669']), (['Asian alone'], ['1,597']), (['Two or more races'], ['1,081']), (['Hispanic'], ['653']), (['Other race alone'], ['60']), (['American Indian alone'], ['5'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15146,40.42,-79.76
313,North Versailles,10603,42.3,44844,47.2,52.8,26018,110633," [(['White alone'], ['9,747']), (['Black alone'], ['1,079']), (['Two or more races'], ['141']), (['Asian alone'], ['80']), (['Hispanic'], ['54']), (['Other race alone'], ['15']), (['American Indian alone'], ['7']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2'])]",Allegheny-County,48.55362,45.314107,6.1322730000000005,15137,40.37,-79.8
314,Oakdale,1477,46.9,60541,50.9,49.1,31851,130683," [(['White alone'], ['1,403']), (['Black alone'], ['23']), (['Two or more races'], ['16']), (['Hispanic'], ['10']), (['Asian alone'], ['5']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15071,40.39,-80.18
315,Oakmont,6426,47.7,63541,44.5,55.5,41025,191536," [(['White alone'], ['6,058']), (['Hispanic'], ['93']), (['Black alone'], ['58']), (['Asian alone'], ['45']), (['Two or more races'], ['41']), (['American Indian alone'], ['4']), (['Other race alone'], ['4'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15139,40.51,-79.83
316,Pitcairn,3264,37.4,31916,45.7,54.3,21033,64903," [(['White alone'], ['2,822']), (['Black alone'], ['308']), (['Two or more races'], ['85']), (['Hispanic'], ['65']), (['Asian alone'], ['9']), (['American Indian alone'], ['3']), (['Other race alone'], ['2'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15140,40.4,-79.77
317,Pittsburgh,303624,33.5,44707,49.2,50.8,30244,120800," [(['White alone'], ['198,820']), (['Black alone'], ['68,184']), (['Asian alone'], ['16,963']), (['Two or more races'], ['10,168']), (['Hispanic'], ['8,450']), (['Other race alone'], ['809']), (['American Indian alone'], ['148']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['82'])]",Allegheny-County,48.55362,45.314107,6.1322730000000005,15201,40.43,-79.97
318,Russellton,1440,48.4,56266,52.5,47.5,29098,128822," [(['White alone'], ['1,404']), (['Black alone'], ['13']), (['Hispanic'], ['10']), (['Asian alone'], ['6']), (['Two or more races'], ['5']), (['American Indian alone'], ['2'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15076,40.61,-79.83
319,Sewickley,3851,42.4,71909,48.0,52.0,54174,318607," [(['White alone'], ['3,353']), (['Black alone'], ['273']), (['Hispanic'], ['70']), (['Two or more races'], ['65']), (['Asian alone'], ['51']), (['Other race alone'], ['11']), (['American Indian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Allegheny-County,48.55362,45.314107,6.1322730000000005,15143,40.53,-80.18
320,Springdale,3393,47.3,45237,43.3,56.7,29835,99818," [(['White alone'], ['3,330']), (['Two or more races'], ['27']), (['Black alone'], ['19']), (['Hispanic'], ['19']), (['Asian alone'], ['4']), (['Other race alone'], ['5']), (['American Indian alone'], ['1'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15144,40.53,-79.78
321,Sturgeon,1710,42.4,56140,50.8,49.2,34440,147100," [(['White alone'], ['1,650']), (['Two or more races'], ['24']), (['Black alone'], ['19']), (['Hispanic'], ['6']), (['Asian alone'], ['5']), (['American Indian alone'], ['3']), (['Other race alone'], ['3'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15082,40.41,-80.19
322,Tarentum,4489,36.4,34109,50.3,49.7,20795,61182," [(['White alone'], ['4,140']), (['Black alone'], ['231']), (['Two or more races'], ['77']), (['Hispanic'], ['47']), (['Asian alone'], ['22']), (['American Indian alone'], ['9']), (['Other race alone'], ['4'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15084,40.6,-79.76
323,Turtle Creek,5301,40.7,34439,44.6,55.4,20747,69938," [(['White alone'], ['4,167']), (['Black alone'], ['912']), (['Two or more races'], ['142']), (['Hispanic'], ['71']), (['Asian alone'], ['34']), (['American Indian alone'], ['13']), (['Other race alone'], ['10'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15145,40.4,-79.82
324,Verona,2455,41.5,39099,50.3,49.7,22464,81430," [(['White alone'], ['2,190']), (['Black alone'], ['184']), (['Hispanic'], ['54']), (['Two or more races'], ['37']), (['Asian alone'], ['4']), (['Other race alone'], ['4']), (['American Indian alone'], ['1'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15147,40.5,-79.84
325,West Elizabeth,511,37.2,49231,51.8,48.2,27262,60197," [(['White alone'], ['501']), (['Black alone'], ['15']), (['Two or more races'], ['2'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15088,40.27,-79.89
326,West Mifflin,20175,45.3,51922,46.9,53.1,28454,101678," [(['White alone'], ['17,019']), (['Black alone'], ['1,928']), (['Two or more races'], ['842']), (['Hispanic'], ['285']), (['Asian alone'], ['10']), (['American Indian alone'], ['8']), (['Other race alone'], ['5'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15122,40.35,-79.9
327,Whitehall,13896,45.3,61816,46.0,54.0,33009,154433," [(['White alone'], ['12,611']), (['Asian alone'], ['531']), (['Black alone'], ['513']), (['Two or more races'], ['134']), (['Hispanic'], ['132']), (['American Indian alone'], ['10']), (['Other race alone'], ['10']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3'])]",Allegheny-County,48.55362,45.314107,6.1322730000000005,18052,40.63,-75.48
328,Wilmerding,2167,35.4,26374,38.5,61.5,15812,55600," [(['White alone'], ['1,631']), (['Black alone'], ['390']), (['Two or more races'], ['93']), (['Hispanic'], ['51']), (['American Indian alone'], ['12']), (['Asian alone'], ['7']), (['Other race alone'], ['6'])] ",Allegheny-County,48.55362,45.314107,6.1322730000000005,15148,40.39,-79.81
329,Allison,625,47.4,43140,50.6,49.4,24029,101700," [(['White alone'], ['555']), (['Black alone'], ['52']), (['Two or more races'], ['13']), (['Asian alone'], ['3']), (['American Indian alone'], ['1']), (['Hispanic'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15413,39.98,-79.87
330,Belle Vernon,1073,46.8,27666,47.5,52.5,19963,88766," [(['White alone'], ['1,018']), (['Black alone'], ['38']), (['Hispanic'], ['18']), (['Two or more races'], ['11']), (['Asian alone'], ['5']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15012,40.12,-79.86
331,Brownsville,2292,41.4,29134,48.0,52.0,18542,62457," [(['White alone'], ['1,888']), (['Black alone'], ['314']), (['Two or more races'], ['111']), (['Hispanic'], ['13']), (['American Indian alone'], ['3']), (['Asian alone'], ['2'])] ",Fayette-County,23.690041,63.674039,12.63592,15417,40.01,-79.89
332,Connellsville,7514,39.1,30475,47.5,52.5,20574,90425," [(['White alone'], ['7,083']), (['Black alone'], ['338']), (['Two or more races'], ['107']), (['Hispanic'], ['55']), (['Asian alone'], ['29']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['10']), (['Other race alone'], ['10']), (['American Indian alone'], ['5'])]",Fayette-County,23.690041,63.674039,12.63592,15425,40.01,-79.58
333,Dawson,359,36.8,44029,49.3,50.7,19778,65994," [(['White alone'], ['353']), (['Two or more races'], ['9']), (['Black alone'], ['4']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15428,40.04,-79.65
334,Dunbar,1019,42.8,38686,49.4,50.6,20884,70748," [(['White alone'], ['1,018']), (['Hispanic'], ['9']), (['Black alone'], ['6']), (['Two or more races'], ['5']), (['Asian alone'], ['3']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15431,39.97,-79.61
335,Everson,779,41.2,37476,49.9,50.1,19929,88435," [(['White alone'], ['751']), (['Black alone'], ['17']), (['Hispanic'], ['12']), (['Two or more races'], ['9']), (['Asian alone'], ['4'])] ",Fayette-County,23.690041,63.674039,12.63592,15631,40.09,-79.58
336,Fairchance,1933,44.3,43376,47.9,52.1,22071,98052," [(['White alone'], ['1,886']), (['Black alone'], ['54']), (['Two or more races'], ['21']), (['Hispanic'], ['11']), (['American Indian alone'], ['3'])] ",Fayette-County,23.690041,63.674039,12.63592,15436,39.82,-79.75
337,Fairhope,1151,37.8,43140,48.7,51.3,24029,101700," [(['White alone'], ['1,137']), (['Black alone'], ['6']), (['Two or more races'], ['3']), (['Asian alone'], ['2']), (['Hispanic'], ['2']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15538,39.89,-78.83
338,Farmington,767,39.1,43140,53.2,46.8,24029,101700," [(['White alone'], ['755']), (['Hispanic'], ['4']), (['Asian alone'], ['3']), (['Other race alone'], ['2']), (['Two or more races'], ['2']), (['Black alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15437,39.78,-79.61
339,Fayette City,586,35.9,35121,47.2,52.8,16498,78928," [(['White alone'], ['577']), (['Hispanic'], ['9']), (['Asian alone'], ['6']), (['Two or more races'], ['3']), (['Black alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15438,40.1,-79.83
340,Grindstone,498,36.4,43140,42.4,57.6,24029,101700," [(['White alone'], ['482']), (['Black alone'], ['11']), (['Two or more races'], ['3']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15442,40.01,-79.83
341,Hiller,1155,54.3,63961,45.6,54.4,34065,91309," [(['White alone'], ['1,069']), (['Black alone'], ['54']), (['Two or more races'], ['20']), (['Asian alone'], ['4']), (['Other race alone'], ['3']), (['Hispanic'], ['4']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15444,40.0,-79.9
342,Hopwood,2090,49.3,42405,44.3,55.7,26587,134974," [(['White alone'], ['2,031']), (['Black alone'], ['17']), (['Asian alone'], ['16']), (['Two or more races'], ['13']), (['Hispanic'], ['10']), (['Other race alone'], ['2']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15445,39.87,-79.7
343,Lemont Furnace,827,28.2,43140,43.4,56.6,24029,101700," [(['White alone'], ['768']), (['Black alone'], ['21']), (['Two or more races'], ['20']), (['Hispanic'], ['17']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15456,39.92,-79.64
344,Markleysburg,279,49.2,43927,47.1,52.9,18593,110543," [(['White alone'], ['275']), (['Black alone'], ['7']), (['Two or more races'], ['1']), (['Hispanic'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15459,39.73,-79.45
345,Masontown,3399,42.9,34005,47.6,52.4,20859,83681," [(['White alone'], ['3,137']), (['Black alone'], ['180']), (['Two or more races'], ['75']), (['Hispanic'], ['30']), (['Asian alone'], ['13']), (['American Indian alone'], ['7']), (['Other race alone'], ['8'])] ",Fayette-County,23.690041,63.674039,12.63592,15461,39.84,-79.9
346,Newell,532,43.0,52979,51.4,48.6,22611,79591," [(['White alone'], ['526']), (['Hispanic'], ['7']), (['Two or more races'], ['5']), (['Black alone'], ['2']), (['Other race alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15466,40.07,-79.88
347,Oliver,2535,40.8,35586,44.6,55.4,23886,67100," [(['White alone'], ['2,327']), (['Black alone'], ['137']), (['Two or more races'], ['47']), (['Hispanic'], ['21']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15472,39.91,-79.72
348,Perryopolis,1741,45.1,51811,52.6,47.4,25822,142601," [(['White alone'], ['1,744']), (['Two or more races'], ['19']), (['Asian alone'], ['8']), (['Black alone'], ['6']), (['Hispanic'], ['3']), (['Other race alone'], ['2']), (['American Indian alone'], ['1']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Fayette-County,23.690041,63.674039,12.63592,15473,40.08,-79.75
349,Point Marion,1140,48.7,45424,47.8,52.2,28014,75391," [(['White alone'], ['1,131']), (['Hispanic'], ['12']), (['Black alone'], ['7']), (['Two or more races'], ['6']), (['American Indian alone'], ['1']), (['Asian alone'], ['1']), (['Other race alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15474,39.73,-79.9
350,Republic,1096,35.7,50173,47.1,52.9,21352,78044," [(['White alone'], ['1,003']), (['Black alone'], ['67']), (['Two or more races'], ['12']), (['Hispanic'], ['5']), (['American Indian alone'], ['4']), (['Other race alone'], ['3']), (['Asian alone'], ['2'])] ",Fayette-County,23.690041,63.674039,12.63592,15475,39.96,-79.87
351,Ronco,256,55.9,43140,50.4,49.6,24029,101700," [(['White alone'], ['229']), (['Black alone'], ['26']), (['Two or more races'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15476,39.86,-79.9
352,Smithfield,859,37.2,39812,49.3,50.7,21424,108664," [(['White alone'], ['859']), (['Black alone'], ['5']), (['Two or more races'], ['4']), (['Hispanic'], ['4']), (['Asian alone'], ['2']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15478,39.8,-79.8
353,Smock,583,42.3,43140,44.3,55.7,24029,101700," [(['White alone'], ['545']), (['Two or more races'], ['19']), (['Black alone'], ['16']), (['Other race alone'], ['2']), (['Hispanic'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15480,39.99,-79.75
354,Star Junction,616,54.5,43140,51.6,48.4,24029,101700," [(['White alone'], ['605']), (['Two or more races'], ['9']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15482,40.1,-79.74
355,Uniontown,10064,43.4,28204,48.3,51.7,20676,89209," [(['White alone'], ['7,957']), (['Black alone'], ['1,853']), (['Two or more races'], ['331']), (['Hispanic'], ['143']), (['Asian alone'], ['48']), (['American Indian alone'], ['22']), (['Other race alone'], ['18'])] ",Fayette-County,23.690041,63.674039,12.63592,15401,39.89,-79.72
356,Vanderbilt,468,47.9,40848,52.3,47.7,20395,83239," [(['White alone'], ['455']), (['Two or more races'], ['10']), (['Black alone'], ['9']), (['Other race alone'], ['1']), (['Hispanic'], ['1'])] ",Fayette-County,23.690041,63.674039,12.63592,15486,40.03,-79.66
357,Allport,264,39.8,47352,55.9,44.1,22804,94100," [(['White alone'], ['260']), (['Hispanic'], ['3']), (['Black alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16821,40.97,-78.21
358,Bigler,398,24.6,47352,51.6,48.4,22804,94100," [(['White alone'], ['389']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['3']), (['Two or more races'], ['3']), (['Hispanic'], ['3'])]",Clearfield-County,22.594565,64.518576,12.886859,16825,40.98,-78.32
359,Brisbin,400,46.8,37994,48.0,52.0,23725,98576," [(['White alone'], ['399']), (['Hispanic'], ['9']), (['Two or more races'], ['2']), (['Black alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16620,40.83,-78.35
360,Burnside,231,52.2,41804,55.8,44.2,20162,75237," [(['White alone'], ['233']), (['Hispanic'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,15721,40.81,-78.78
361,Clearfield,6064,44.5,43719,48.3,51.7,24337,82804," [(['White alone'], ['5,852']), (['Two or more races'], ['62']), (['Hispanic'], ['45']), (['Black alone'], ['18']), (['American Indian alone'], ['13']), (['Asian alone'], ['11'])] ",Clearfield-County,22.594565,64.518576,12.886859,16830,41.02,-78.43
362,Coalport,508,45.4,24344,53.0,47.0,18663,80779," [(['White alone'], ['509']), (['Two or more races'], ['10']), (['Hispanic'], ['3']), (['Asian alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16627,40.74,-78.53
363,Curwensville,2486,46.8,37539,48.3,51.7,19496,78541," [(['White alone'], ['2,505']), (['Black alone'], ['13']), (['Two or more races'], ['13']), (['Hispanic'], ['6']), (['Asian alone'], ['3']), (['American Indian alone'], ['2'])] ",Clearfield-County,22.594565,64.518576,12.886859,16833,40.97,-78.51
364,Grampian,343,32.9,53389,49.3,50.7,18325,72786," [(['White alone'], ['375']), (['Two or more races'], ['23']), (['Hispanic'], ['18']), (['Black alone'], ['11']), (['American Indian alone'], ['2']), (['Asian alone'], ['2'])] ",Clearfield-County,22.594565,64.518576,12.886859,16838,40.96,-78.61
365,Grassflat,511,38.3,47352,67.7,32.3,22804,94100," [(['White alone'], ['505']), (['Hispanic'], ['4']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16839,41.01,-78.11
366,Hawk Run,534,33.6,47352,44.0,56.0,22804,94100," [(['White alone'], ['526']), (['Two or more races'], ['6']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16840,40.94,-78.21
367,Houtzdale,779,46.8,43318,51.1,48.9,21428,79287," [(['White alone'], ['790']), (['Two or more races'], ['6']), (['Hispanic'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16651,40.82,-78.35
368,Hyde,1399,42.7,32421,48.4,51.6,18349,70442," [(['White alone'], ['1,368']), (['Two or more races'], ['12']), (['Black alone'], ['9']), (['Hispanic'], ['8']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16843,41.0,-78.46
369,Irvona,629,41.7,49824,48.2,51.8,21818,64154," [(['White alone'], ['637']), (['Two or more races'], ['8']), (['Asian alone'], ['1']), (['Hispanic'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16656,40.77,-78.55
370,Kylertown,340,58.1,47352,34.6,65.4,22804,94100," [(['White alone'], ['339']), (['Black alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16847,40.99,-78.16
371,Mahaffey,356,43.4,47436,51.9,48.1,19122,66179," [(['White alone'], ['365']), (['Two or more races'], ['2']), (['American Indian alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,15757,40.87,-78.72
372,Morrisdale,754,41.7,47352,56.5,43.5,22804,94100," [(['White alone'], ['734']), (['Two or more races'], ['7']), (['Black alone'], ['5']), (['American Indian alone'], ['5']), (['Hispanic'], ['3'])] ",Clearfield-County,22.594565,64.518576,12.886859,16858,41.01,-78.22
373,Osceola Mills,1112,43.5,46493,50.2,49.8,25268,79180," [(['White alone'], ['1,107']), (['Hispanic'], ['14']), (['Two or more races'], ['13']), (['Asian alone'], ['4']), (['Black alone'], ['2']), (['American Indian alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16666,40.85,-78.26
374,Ramey,445,49.5,50849,49.8,50.2,22455,96551," [(['White alone'], ['449']), (['Hispanic'], ['2'])] ",Clearfield-County,22.594565,64.518576,12.886859,16671,40.8,-78.39
375,Troutville,237,41.5,61087,52.6,47.4,23531,107954," [(['White alone'], ['239']), (['Hispanic'], ['4'])] ",Clearfield-County,22.594565,64.518576,12.886859,15866,41.02,-78.78
376,Wallaceton,312,47.0,51019,50.8,49.2,22430,92715," [(['White alone'], ['312']), (['Black alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16876,40.96,-78.29
377,West Decatur,533,47.7,47352,52.8,47.2,22804,94100," [(['White alone'], ['528']), (['Hispanic'], ['2']), (['Black alone'], ['1']), (['American Indian alone'], ['1']), (['Two or more races'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16878,40.94,-78.36
378,Westover,385,40.8,57605,58.4,41.6,22217,69802," [(['White alone'], ['389']), (['Asian alone'], ['1'])] ",Clearfield-County,22.594565,64.518576,12.886859,16692,40.74,-78.68
379,Aristes,311,50.7,47687,48.1,51.9,25322,76954,*,Columbia-County,28.952725,60.021042,11.026233,17920,40.81,-76.34
380,Benton,831,35.0,44959,48.3,51.7,19872,106719," [(['White alone'], ['805']), (['Hispanic'], ['12']), (['Two or more races'], ['3']), (['Black alone'], ['2']), (['Asian alone'], ['2'])] ",Columbia-County,28.952725,60.021042,11.026233,17814,41.19,-76.38
381,Berwick,10316,39.5,40278,49.4,50.6,21702,101637," [(['White alone'], ['9,702']), (['Hispanic'], ['386']), (['Black alone'], ['144']), (['Two or more races'], ['146']), (['Asian alone'], ['81']), (['Other race alone'], ['10']), (['American Indian alone'], ['8'])] ",Columbia-County,28.952725,60.021042,11.026233,18603,41.05,-76.24
382,Bloomsburg,14727,22.8,31577,46.5,53.5,17695,127565," [(['White alone'], ['13,050']), (['Black alone'], ['880']), (['Hispanic'], ['508']), (['Asian alone'], ['225']), (['Two or more races'], ['166']), (['American Indian alone'], ['12']), (['Other race alone'], ['12']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Columbia-County,28.952725,60.021042,11.026233,17815,41.0,-76.45
383,Catawissa,1527,42.7,40157,48.1,51.9,22863,91785," [(['White alone'], ['1,489']), (['Hispanic'], ['25']), (['Two or more races'], ['19']), (['Black alone'], ['7']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['4']), (['Other race alone'], ['4']), (['Asian alone'], ['3']), (['American Indian alone'], ['1'])]",Columbia-County,28.952725,60.021042,11.026233,17820,40.95,-76.46
384,Lightstreet,1093,48.7,61873,49.5,50.5,30991,146959," [(['White alone'], ['1,053']), (['Asian alone'], ['17']), (['Two or more races'], ['14']), (['Black alone'], ['4']), (['Hispanic'], ['3']), (['American Indian alone'], ['2'])] ",Columbia-County,28.952725,60.021042,11.026233,17839,41.03,-76.41
385,Mifflinville,1253,48.9,46713,48.0,52.0,25119,139596," [(['White alone'], ['1,220']), (['Hispanic'], ['26']), (['Two or more races'], ['4']), (['Black alone'], ['2']), (['Other race alone'], ['1'])] ",Columbia-County,28.952725,60.021042,11.026233,18631,41.02,-76.3
386,Millville,957,40.3,52707,45.7,54.3,27521,135551," [(['White alone'], ['918']), (['Hispanic'], ['12']), (['Black alone'], ['7']), (['Two or more races'], ['6']), (['Asian alone'], ['3']), (['Other race alone'], ['2'])] ",Columbia-County,28.952725,60.021042,11.026233,17846,41.12,-76.52
387,Numidia,244,41.4,87378,41.8,58.2,27963,151212," [(['White alone'], ['239']), (['Two or more races'], ['2']), (['Hispanic'], ['2']), (['American Indian alone'], ['1'])] ",Columbia-County,28.952725,60.021042,11.026233,17858,40.89,-76.41
