,County,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic
324,BUCKS,1088,CHURCHVILLE EL SCH,23.03,44.66,23.99,8.35
325,LEHIGH,8262,CIRCLE OF SEASONS CS,9.81,31.39,30.07,28.74
326,ALLEGHENY,7371,CLAIRTON EL SCH,3.89,22.11,29.81,44.26
327,ALLEGHENY,8094,CLAIRTON MS/HS,3.71,19.45,38.6,38.29
328,ALLEGHENY,528,CLARA BARTON EL SCH,25.45,48.3,18.65,7.65
329,CLARION,5217,CLARION AREA EL SCH,25.22,39.32,23.53,11.89
330,CLARION,1475,CLARION AREA JSHS,11.7,36.73,28.9,22.68
331,CLARION,1480,CLARION-LIMESTONE AR,18.16,47.48,25.82,8.62
332,CLARION,1479,CLARION-LIMESTONE EL,32.78,38.8,18.51,9.91
333,FAYETTE,2146,CLARK EL SCH,23.08,35.71,27.04,14.14
334,TIOGA,6371,CLARK WOOD EL SCH,13.54,47.22,31.97,7.32
335,SCHUYLKILL,3915,CLARKE EL CTR,23.89,35.13,24.52,16.53
336,LACKAWANNA,7570,CLARKS SUMMIT EL SCH,28.07,44.68,19.06,8.17
337,LANCASTER,2568,CLAY EL SCH,44.68,34.64,13.94,6.78
338,BLAIR,7374,CLAYSBURG-KIMMEL EL,17.31,34.68,34.11,13.87
339,BLAIR,921,CLAYSBURG-KIMMEL HS,5.75,25.48,33.91,34.84
340,WASHINGTON,4248,CLAYSVILLE EL SCH,18.41,41.68,24.98,14.94
341,MONROE,8236,CLEAR RUN INTRMD SCH,11.41,29.6,33.36,25.58
342,CLEARFIELD,8315,CLEARFIELD AREA EL SCH,17.98,36.63,28.75,16.64
343,CLEARFIELD,6236,CLEARFIELD AREA JSHS,15.74,36.64,30.51,17.11
344,YORK,6837,CLEARVIEW EL SCH,18.31,37.72,26.32,17.67
345,PHILADELPHIA,6767,CLEMENTE ROBERTO MS,0.0,3.26,23.69,73.05
346,LANCASTER,7354,CLERMONT EL SCH,23.24,40.01,22.95,13.79
347,LEHIGH,7102,CLEVELAND EL SCH,11.21,31.61,31.21,26.02
348,FAYETTE,5047,CLIFFORD N PRITTS EL,9.08,36.99,34.37,19.61
349,LANCASTER,6289,COCALICO MS,15.96,36.69,31.35,15.99
350,LYCOMING,3057,COCHRAN EL SCH,16.3,30.7,31.05,21.95
351,CRAWFORD,5037,COCHRANTON AREA EL SCH,19.32,34.48,28.08,18.17
352,CRAWFORD,1632,COCHRANTON AREA JSHS,24.36,26.93,26.94,21.75
353,DELAWARE,1910,COEBOURN EL SCH,26.08,41.09,25.61,7.27
354,BUCKS,7435,COLD SPRING EL SCH,45.97,38.02,11.89,4.12
355,MONTGOMERY,3263,COLE MANOR EL SCH,26.7,34.96,23.98,14.27
356,BERKS,762,COLEBROOKDALE EL SCH,18.16,39.56,27.09,15.19
357,ALLEGHENY,6022,COLFAX EL SCH,32.81,30.81,21.49,14.91
358,ALLEGHENY,24,COLFAX UPPER EL SCH,23.11,29.79,28.35,18.84
359,CHESTER,7628,COLLEGIUM CS,22.4,33.26,27.63,16.72
360,MONTGOMERY,7143,COLONIAL EL SCH,42.88,37.99,15.24,3.93
361,MONTGOMERY,5077,COLONIAL MS,30.68,39.3,21.23,8.78
362,LANCASTER,8326,COLUMBIA MS,4.98,25.92,35.33,33.71
363,DELAWARE,1856,COLWYN ELEM SCHOOL,4.45,28.58,32.59,34.37
364,PHILADELPHIA,3782,COMEGYS BENJAMIN B SCH,1.14,9.25,30.08,59.5
365,PHILADELPHIA,3760,COMLY WATSON SCH,14.59,45.52,26.26,13.61
366,PHILADELPHIA,7510,COMM ACAD OF PHILA CS,4.8,18.48,29.59,47.13
367,MERCER,6122,COMMODORE PERRY JSHS,10.92,44.05,27.98,17.05
368,MERCER,7450,COMMODORE PERRY SCH,19.27,36.79,27.82,16.08
369,DAUPHIN,7774,COMMONWEALTH CHARTER ACADEMY CS,7.4,24.49,31.38,36.73
370,ALLEGHENY,330,CONCORD EL SCH,16.99,31.18,28.89,22.93
371,SOMERSET,3977,CONEMAUGH TWP AREA EL SCH,35.26,46.29,15.5,2.91
372,SOMERSET,3978,CONEMAUGH TWP AREA J,21.44,34.99,29.85,13.69
373,CAMBRIA,5213,CONEMAUGH VALLEY EL,19.96,40.36,24.11,15.57
374,CAMBRIA,5136,CONEMAUGH VALLEY JSH,10.5,38.59,30.33,20.62
375,LANCASTER,2516,CONESTOGA EL SCH,36.03,38.12,16.23,9.66
376,LANCASTER,2531,CONESTOGA VALLEY MS,24.32,35.94,25.3,14.52
377,YORK,4572,CONEWAGO EL SCH,27.43,38.78,20.04,13.72
378,ADAMS,6268,CONEWAGO TWP EL SCH,23.45,44.55,20.7,11.3
379,ADAMS,7822,CONEWAGO VALLEY INTRMD SCH,28.37,39.22,23.72,8.73
380,CRAWFORD,8225,CONNEAUT LAKE MS,12.33,30.06,31.0,26.62
381,CRAWFORD,6132,CONNEAUT LAKE-SADSBU,32.76,38.07,18.58,10.57
382,CRAWFORD,6133,CONNEAUT VALLEY EL SCH,25.5,38.26,18.98,17.31
383,CRAWFORD,8226,CONNEAUT VALLEY MS,10.71,31.39,35.2,22.7
384,ERIE,2021,CONNELL EL SCH,10.55,36.86,31.33,21.26
385,FAYETTE,2105,CONNELLSVILLE JHS EA,8.31,26.28,31.25,34.11
386,FAYETTE,2103,CONNELLSVILLE TWP EL,8.52,36.9,38.99,15.59
387,BUTLER,1150,CONNOQUENESSING EL SCH,37.17,39.07,18.8,4.96
388,BUTLER,1178,CONNOQUENESSING VALL,38.2,44.67,13.97,3.16
389,BERKS,7284,CONRAD WEISER EAST ELEM,26.02,41.52,23.36,9.06
390,BERKS,7651,CONRAD WEISER MIDDLE SCHOOL,12.79,37.69,32.96,16.5
391,BERKS,5203,CONRAD WEISER WEST ELEM,16.96,37.88,28.47,16.69
392,MONTGOMERY,3261,CONSHOHOCKEN EL SCH,37.5,41.25,12.5,8.75
393,PHILADELPHIA,6525,CONWELL RUSSELL MS,7.43,31.41,36.78,24.42
394,PHILADELPHIA,5122,COOK-WISSAHICKON SCH,8.07,30.76,33.19,27.97
395,PHILADELPHIA,7239,COOKE JAY MS,0.18,7.13,29.38,63.39
396,DELAWARE,1877,COOPERTOWN EL SCH,43.03,35.21,15.88,5.93
397,MONTGOMERY,7707,COPPER BEECH EL SCH,33.29,41.88,17.89,6.84
398,CENTRE,1354,CORL STREET EL SCH,50.45,30.57,12.51,6.47
399,ALLEGHENY,6944,CORNELL EL SCH,16.94,32.37,25.03,25.56
400,ALLEGHENY,8087,CORNELL HS,7.7,26.43,29.68,36.19
401,LEBANON,6302,CORNWALL EL SCH,41.11,32.78,16.9,9.25
402,BERKS,6773,CORNWALL TERRACE EL SCH,29.63,37.32,24.8,8.2
403,BUCKS,1006,CORNWELLS EL SCH,20.75,40.73,25.27,13.25
404,ERIE,1997,CORRY AREA INTERMEDIATE SCH,17.65,36.28,26.32,19.77
405,ERIE,7793,CORRY AREA MS,9.22,29.15,33.95,27.73
406,POTTER,3868,COUDERSPORT AREA EL,17.65,39.07,30.25,13.02
407,POTTER,3869,COUDERSPORT AREA JSH,10.09,30.22,33.97,25.7
408,TIOGA,4058,COWANESQUE VALLEY JS,10.27,28.27,32.84,28.58
409,ALLEGHENY,78,CRAFTON EL SCH,29.32,37.16,21.49,12.07
410,PHILADELPHIA,5123,CRAMP WILLIAM SCHOOL,1.26,12.47,25.9,60.42
411,VENANGO,4098,CRANBERRY AREA JSHS,8.0,32.18,32.59,27.23
412,VENANGO,6595,CRANBERRY EL SCH,25.54,38.31,24.12,12.04
413,CUMBERLAND,1689,CRESTVIEW EL SCH,31.29,38.53,22.29,7.84
414,LUZERNE,7655,CRESTWOOD MS,23.76,42.1,21.72,12.44
415,MONTGOMERY,3268,CROOKED BILLET EL SCH,32.3,45.61,16.14,5.95
416,PHILADELPHIA,3762,CROSSAN KENNEDY C SCH,11.1,34.45,30.87,23.57
417,YORK,7395,CROSSROADS MS,14.91,33.59,31.95,19.55
418,BUCKS,7726,CTR STUDENT LEARNING CS - PENN,3.83,23.07,25.64,47.4
419,DELAWARE,1898,CULBERTSON EL SCH,44.13,34.14,14.94,6.71
420,BERKS,794,CUMRU EL SCH,26.41,44.22,22.69,6.72
421,LYCOMING,3073,CURTIN MS,19.25,29.59,26.23,24.95
422,CLEARFIELD,6238,CURWENSVILLE AREA EL,28.72,40.38,21.62,9.28
423,CLEARFIELD,1529,CURWENSVILLE AREA JSHS,15.86,36.89,31.14,16.15
424,MONTGOMERY,3286,CYNWYD SCH,61.62,29.07,7.61,1.69
425,FAYETTE,2116,D FERD SWANEY EL SCH,18.51,38.25,25.22,18.06
426,PHILADELPHIA,7226,D NEWLIN FELL SCHOOL,14.03,29.61,30.69,25.64
427,LUZERNE,2868,DALLAS EL SCH,39.32,40.45,16.41,3.77
428,LUZERNE,5150,DALLAS MS,24.61,38.64,22.48,14.31
429,YORK,8132,DALLASTOWN AREA INTERMEDIATE S,32.51,35.96,21.31,10.21
430,YORK,6598,DALLASTOWN AREA MS,27.44,36.31,22.16,13.98
431,YORK,4546,DALLASTOWN EL SCH,55.44,37.37,7.24,0.0
432,WAYNE,6424,DAMASCUS AREA SCH,31.26,36.27,25.39,7.04
433,LUZERNE,2878,DANA EL CTR,17.74,38.26,28.48,15.57
434,BERKS,7544,DANIEL BOONE AREA MS,21.89,36.4,27.99,13.73
435,LUZERNE,5152,DANIEL J FLOOD EL SCH,4.83,25.77,35.9,33.5
436,MONTOUR,3424,DANVILLE AREA MS,23.32,34.8,26.51,15.41
437,DELAWARE,1861,DARBY TWP EL SCH,7.21,30.25,31.64,30.9
438,BUTLER,6605,DASSA MCKINNEY EL SCH,25.08,40.2,24.19,10.54
439,ALLEGHENY,8177,DAVID E WILLIAMS MS,30.65,39.56,21.49,8.25
440,ARMSTRONG,6579,DAVID LEECH EL SCH,17.41,43.28,26.1,13.26
441,BUCKS,8222,DAVIS EL SCH,28.24,42.82,19.36,9.54
442,YORK,8237,DAVIS SCH,1.06,12.5,36.88,49.51
443,PHILADELPHIA,3706,DAY ANNA B SCH,1.57,21.64,34.81,41.97
444,ARMSTRONG,569,DAYTON EL SCH,22.98,51.87,21.73,3.42
445,PHILADELPHIA,7175,DEBURGOS BILINGUAL,0.52,11.29,28.0,60.15
446,PHILADELPHIA,4727,DECATUR STEPHEN SCH,10.89,35.08,30.88,23.21
447,ALLEGHENY,7595,DEER LAKES MS,18.33,37.26,29.91,14.51
448,BEDFORD,748,DEFIANCE GR SCH,4.62,26.36,39.56,29.47
449,BUCKS,1054,DEIBLER SCHOOL,35.93,46.69,13.63,3.8
450,MERCER,8069,DELAHUNTY MS,25.7,36.22,26.22,11.81
451,PIKE,7162,DELAWARE VALLEY EL SCH,30.59,43.45,20.43,5.48
452,PIKE,3865,DELAWARE VALLEY MS,18.97,38.47,26.79,15.77
453,DELAWARE,6505,DELCROFT SCH,7.69,23.21,33.73,35.34
454,YORK,4599,DELTA-PEACH BOTTOM E,13.78,43.94,26.54,15.76
455,LANCASTER,2506,DENVER EL SCH,32.27,40.61,19.64,7.43
456,WESTMORELAND,4351,DERRY AREA MS,19.99,34.54,30.33,15.15
457,YORK,8238,DEVERS SCH,3.22,15.61,34.09,47.04
458,BUCKS,1017,DEVINE EL SCH,19.36,42.77,26.78,11.14
459,CHESTER,1434,DEVON EL SCH,50.21,36.2,10.18,3.4
460,PHILADELPHIA,3786,DICK WILLIAM SCH,0.45,6.35,29.27,63.93
461,CLINTON,4815,DICKEY EL SCH,6.31,32.19,30.27,31.21
462,ERIE,2003,DIEHL EL SCH,3.97,17.07,30.57,48.37
463,YORK,4579,DILLSBURG EL SCH,18.97,43.88,25.13,12.02
464,ALLEGHENY,6024,DILWORTH TRADITIONAL,23.82,40.89,22.42,12.86
465,PIKE,3864,DINGMAN-DELAWARE EL SCH,24.31,45.35,22.05,8.33
466,PIKE,7408,DINGMAN-DELAWARE MS,23.41,38.99,25.16,12.41
467,PHILADELPHIA,7775,DISCOVERY CHARTER SCHOOL,4.75,26.86,36.51,31.85
468,PHILADELPHIA,3763,DISSTON HAMILTON SCH,1.6,15.1,33.62,49.66
469,PHILADELPHIA,3726,DOBSON JAMES SCH,10.82,29.52,29.8,29.82
470,LUZERNE,2995,DODSON EL SCH,2.92,18.59,38.6,39.9
471,LANCASTER,7955,DOE RUN ELEM SCHOOL,32.94,39.82,17.04,10.15
472,NORTHAMPTON,7301,DOMENICK DEFRANCO EL,15.0,37.5,28.65,18.8
473,TIOGA,5095,DON GILL EL SCH,32.96,38.47,18.28,10.31
474,LYCOMING,3036,DONALD E SCHICK ELEM SCHOOL,23.83,43.17,24.61,8.4
475,UNION,4665,DONALD H EICHHORN MIDDLE SCHOOL,42.4,34.28,14.72,8.61
476,ALLEGHENY,7760,DONALDSON ELEM SCHOOL,34.29,44.59,16.25,4.92
477,WESTMORELAND,4454,DONEGAL EL SCH,12.07,31.24,28.34,28.35
478,LANCASTER,8228,DONEGAL INTERMEDIATE SCHOOL,20.14,39.01,27.22,13.68
479,LANCASTER,7165,DONEGAL JHS,21.73,35.59,28.43,14.23
480,NORTHAMPTON,6722,DONEGAN EL SCH,5.28,30.24,30.99,33.47
481,ALLEGHENY,7461,DORMONT EL SCH,30.91,36.57,23.67,8.89
482,ALLEGHENY,147,DORSEYVILLE MS,41.34,32.8,17.65,8.15
483,YORK,8229,DOVER AREA EL SCH,30.13,36.9,22.99,9.98
484,YORK,6283,DOVER AREA INTRMD SCH,12.87,35.82,31.15,20.24
485,DAUPHIN,8265,DOWNEY SCH,3.07,12.93,27.01,57.03
486,CHESTER,7517,DOWNINGTOWN MS,31.2,38.78,19.91,10.15
487,BUCKS,4852,DOYLE EL SCH,42.53,38.5,15.26,3.72
488,ALLEGHENY,161,DR CLEVELAND STEWARD JR EL SCH,22.07,39.65,21.71,16.53
489,LUZERNE,6924,DR DAVID W KISTLER E,12.46,28.36,33.77,25.46
490,DELAWARE,1971,DREXEL HILL MS,9.06,29.81,34.17,27.01
491,LUZERNE,7661,DRUMS ELEM/MIDDLE SCHOOL,21.06,37.89,25.35,15.7
492,CLEARFIELD,1541,DUBOIS AREA MS,20.91,33.74,29.64,15.63
493,PHILADELPHIA,5040,DUCKREY TANNER SCH,0.13,6.93,30.61,62.27
494,FAYETTE,2107,DUNBAR BORO EL SCH,6.31,32.05,34.17,27.42
495,PHILADELPHIA,3687,DUNBAR PAUL L SCH,0.52,10.23,30.66,58.63
496,FAYETTE,5048,DUNBAR TWP EL SCH,13.22,33.68,30.06,22.99
497,LACKAWANNA,6591,DUNMORE EL CTR,19.02,37.04,26.27,17.63
498,LACKAWANNA,8312,DUNMORE JSHS,17.24,36.82,25.97,19.93
499,ALLEGHENY,7908,DUQUESNE CONSOLIDATED SCHOOL,2.48,11.68,29.12,56.72
500,BUCKS,7063,DURHAM-NOCKAMIXON EL,37.77,38.68,19.34,4.16
501,BEAVER,7823,DUTCH RIDGE EL SCH,37.92,38.63,17.75,5.68
502,MONTGOMERY,3357,E M CROUTHAMEL EL SCH,21.59,40.46,21.81,16.15
503,CHESTER,1452,E N PEIRCE MS,34.23,37.21,20.75,7.81
504,SOMERSET,7481,EAGLE VIEW EL SCH,26.27,38.95,24.37,10.45
505,CUMBERLAND,6714,EAGLE VIEW MS,26.97,35.77,24.0,13.26
506,MONTGOMERY,3303,EAGLEVILLE EL SCH,32.74,40.5,20.13,6.71
507,BERKS,763,EARL EL SCH,34.55,44.42,16.76,4.26
508,ALLEGHENY,8340,EAST ALLEGHENY JSHS,8.49,23.67,33.23,34.61
509,CHESTER,1392,EAST BRADFORD EL SCH,38.55,35.73,15.59,10.17
510,CHESTER,7304,EAST COVENTRY EL SCH,31.67,41.68,19.67,7.02
511,MIFFLIN,6261,EAST DERRY EL SCH,6.7,34.35,36.55,22.4
512,MERCER,3135,EAST EL SCH,26.55,35.89,25.01,12.59
513,CHESTER,1374,EAST FALLOWFIELD EL,20.12,38.25,23.47,18.13
514,FOREST,6160,EAST FOREST EL SCH,26.25,40.0,28.75,5.0
515,FOREST,6159,EAST FOREST JSHS,12.8,30.78,34.58,21.79
516,CHESTER,1395,EAST GOSHEN EL SCH,42.71,36.91,13.2,7.18
517,LEBANON,2758,EAST HANOVER EL SCH,25.18,42.47,22.58,9.74
518,LANCASTER,2561,EAST HIGH STREET EL,17.55,39.05,25.4,17.95
519,NORTHAMPTON,4956,EAST HILLS MS,13.17,31.94,31.62,23.3
520,JUNIATA,2394,EAST JUNIATA JSHS,13.94,35.69,33.95,16.45
521,DELAWARE,1890,EAST LANSDOWNE SCH,4.95,26.3,37.57,31.18
522,MONTGOMERY,3265,EAST NORRITON MS,13.45,31.01,34.9,20.64
523,CARBON,1312,EAST PENN EL SCH,28.59,41.4,22.12,7.89
524,CUMBERLAND,5220,EAST PENNSBORO AREA MS,21.14,36.35,26.93,15.63
525,CUMBERLAND,1705,EAST PENNSBORO EL SCH,24.7,41.3,23.96,10.04
526,LANCASTER,2574,EAST PETERSBURG EL SCH,26.95,37.65,26.76,8.7
527,INDIANA,4964,EAST PIKE EL SCH,38.6,38.65,17.1,5.7
528,CHESTER,1396,EAST PIKELAND EL SCH,42.57,39.69,13.3,4.43
529,CAMBRIA,5315,EAST SIDE EL SCH,7.4,30.67,30.28,31.64
530,MONROE,8016,EAST STROUDSBURG EL SCH,32.14,35.56,23.57,8.67
531,ALLEGHENY,6695,EAST UNION INTERMED CTR,20.2,41.61,22.89,15.32
532,CHESTER,5011,EAST WARD EL SCH,40.17,36.21,17.68,5.94
533,YORK,4648,EAST YORK EL SCH,34.46,39.01,17.67,8.85
534,CENTRE,1356,EASTERLY PARKWAY EL,26.62,38.42,21.64,13.28
535,LEBANON,6612,EASTERN LEBANON CO M,12.93,28.33,31.67,27.13
536,PHILADELPHIA,8127,EASTERN UNIVERSITY ACAD CS,0.52,11.41,30.02,58.05
537,YORK,7439,EASTERN YORK MS,25.0,39.3,23.68,12.06
538,LEBANON,2728,EBENEZER EL SCH,29.75,40.33,20.08,9.8
539,BEAVER,629,ECONOMY EL SCH,33.66,37.23,21.49,7.66
540,DELAWARE,5043,EDDYSTONE EL SCH,12.68,39.4,27.2,20.62
541,ALLEGHENY,7999,EDEN HALL UPPER EL SCH,42.32,39.54,13.67,4.52
542,DELAWARE,1926,EDGEWOOD EL SCH,13.6,35.99,26.52,23.89
543,BUCKS,4853,EDGEWOOD ELEM,35.56,43.09,17.06,4.29
544,ALLEGHENY,6108,EDGEWORTH EL SCH,45.07,35.41,15.1,4.42
545,ERIE,2038,EDINBORO EL SCH,34.3,40.22,18.4,7.14
546,ERIE,2004,EDISON EL SCH,2.84,19.66,29.38,48.11
547,PHILADELPHIA,3708,EDMONDS FRANKLIN S SCH,2.18,18.01,32.8,47.01
548,CHESTER,8223,EDUCATION PLUS ACADEMY CYBER CS,7.82,21.9,20.84,49.49
549,WARREN,8335,EISENHOWER EL SCH,37.02,35.99,19.43,7.56
550,MONTGOMERY,3321,EISENHOWER MS,5.79,28.15,34.35,31.71
551,WARREN,4143,EISENHOWER MS/HS,13.79,30.64,34.4,21.21
552,LEBANON,8137,ELCO INTERMEDIATE SCHOOL,24.6,33.29,24.48,17.66
553,ARMSTRONG,6574,ELDERTON EL SCH,26.22,42.7,23.92,7.11
554,ALLEGHENY,4804,ELIZABETH FORWARD MS,21.85,41.24,24.5,12.41
555,LANCASTER,2599,ELIZABETH R MARTIN E,11.49,30.81,29.98,27.72
556,LANCASTER,6862,ELIZABETHTOWN AREA M,21.86,33.85,26.68,17.6
557,SUSQUEHANNA,6417,ELK LAKE EL SCH,21.93,39.47,21.65,16.9
558,SUSQUEHANNA,6418,ELK LAKE JSHS,13.31,28.01,34.88,23.83
559,ERIE,2042,ELK VALLEY EL SCH,34.48,38.99,20.55,5.97
560,PHILADELPHIA,3688,ELKIN LEWIS SCH,2.63,15.28,24.8,57.29
561,MONTGOMERY,3257,ELKINS PARK SCH,22.14,35.62,26.51,15.73
562,PHILADELPHIA,3738,ELLWOOD SCH,2.88,15.71,36.55,44.87
563,LUZERNE,3009,ELMER L MEYERS JSHS,4.64,17.95,33.92,43.49
564,CUMBERLAND,7837,ELMWOOD ELEM SCHOOL,25.65,43.65,21.33,9.41
565,ALLEGHENY,69,ELROY AVENUE EL SCH,19.26,40.83,24.68,15.24
566,BUCKS,1020,EMERSON EL SCH,13.79,39.08,31.39,15.69
567,ERIE,2022,EMERSON-GRIDLEY EL SCH,1.51,21.81,34.83,41.91
568,BUTLER,1134,EMILY BRITTAIN EL SCH,19.66,38.88,25.46,16.02
569,PHILADELPHIA,3709,EMLEN ELEANOR COPE SCH,2.78,26.03,33.85,37.34
570,ALLEGHENY,8028,ENVIRONMENTAL CS AT FRICK PARK,22.56,38.11,22.32,17.05
571,LANCASTER,6712,EPHRATA MS,19.0,39.74,26.74,14.58
572,ERIE,8163,ERIE RISE LEADERSHIP ACAD CS,0.0,5.56,26.82,67.61
573,LANCASTER,2629,ESHLEMAN EL SCH,32.27,35.93,17.2,14.55
574,PHILADELPHIA,8216,ESPERANZA CYBER CS,0.0,14.7,26.5,58.8
575,PHILADELPHIA,7564,EUGENIO MARIA DE HOSTOS CS,14.18,34.22,30.76,20.79
576,BUTLER,1180,EVANS CITY EL SCH,33.67,38.86,19.53,7.88
577,BUTLER,7488,EVANS CITY MS,23.1,38.34,25.45,13.11
578,MONTGOMERY,7940,EVANS ELEM SCHOOL,32.46,43.03,16.96,7.54
579,WYOMING,6991,EVANSFALLS EL SCH,29.3,37.02,23.11,10.57
580,BEDFORD,7006,EVERETT AREA EL SCH,16.14,37.83,27.62,18.39
581,BEDFORD,7898,EVERETT AREA MS,10.04,30.8,35.15,24.01
582,MONROE,7866,EVERGREEN COMMUNITY CS,5.44,41.34,29.36,23.94
583,WAYNE,8173,EVERGREEN EL SCH,38.96,38.8,16.32,5.91
584,LEHIGH,8325,EXECUTIVE EDUCATION ACADEMY CH,1.69,16.88,37.92,43.51
585,BERKS,787,EXETER TWP JHS,19.68,36.77,25.89,17.61
586,CHESTER,1456,EXTON EL SCH,43.49,39.08,13.6,3.88
587,LEHIGH,7560,EYER MIDDLE SCH,26.81,38.26,23.37,11.58
588,ADAMS,6270,FAIRFIELD AREA EL SCH,18.61,33.77,32.1,15.46
589,ADAMS,7322,FAIRFIELD AREA MS,18.87,41.75,24.78,14.55
590,FRANKLIN,2233,FAIRVIEW AVENUE EL SCH,28.08,38.48,22.73,10.71
591,YORK,4588,FAIRVIEW EL SCH,41.93,35.89,15.93,6.24
592,ERIE,2032,FAIRVIEW MS,31.95,38.54,19.32,10.19
593,FRANKLIN,4825,FALLING SPRING EL SCH,30.06,42.03,22.71,5.2
594,BUCKS,7465,FALLSINGTON EL SCH,27.77,37.83,24.93,9.47
595,FRANKLIN,6826,FANNETT-METAL EL SCH,22.18,34.24,26.84,16.74
596,FRANKLIN,7508,FANNETT-METAL MS,14.85,32.83,30.49,21.87
597,LANCASTER,2577,FARMDALE EL SCH,31.18,37.44,20.59,10.8
598,NORTHAMPTON,3456,FARMERSVILLE EL SCH,16.31,39.49,24.65,19.56
599,MERCER,7119,FARRELL AREA ES/LMS,2.36,25.05,34.0,38.64
600,MERCER,5248,FARRELL AREA HS/UMS,1.65,15.17,36.88,46.3
601,PHILADELPHIA,7235,FARRELL LOUIS H SCH,8.21,27.27,34.97,29.57
602,BUCKS,1008,FAUST EL SCH,8.41,30.5,34.58,26.43
603,YORK,4601,FAWN EL SCH,37.41,40.15,17.68,4.76
604,JUNIATA,2390,FAYETTE TWP EL SCH,29.36,38.03,23.18,9.42
605,FRANKLIN,6273,FAYETTEVILLE EL SCH,22.36,38.0,24.18,15.46
606,LACKAWANNA,7746,FELL CS,13.95,33.53,34.42,18.14
607,PHILADELPHIA,3751,FELTONVILLE INTERMEDIATE SCH,2.36,15.44,29.99,52.26
608,PHILADELPHIA,7368,FELTONVILLE SCH ARTS & SCIENCE,1.18,12.32,30.08,56.38
609,YORK,8239,FERGUSON SCH,2.65,14.72,32.77,49.84
610,CENTRE,1350,FERGUSON TWP EL SCH,49.62,30.55,12.72,7.06
611,JUNIATA,4947,FERMANAGH-MIFFLINTOW,15.25,37.63,30.17,16.86
612,CHESTER,1454,FERN HILL EL SCH,43.19,39.91,11.79,5.11
613,CAMBRIA,1225,FERNDALE AREA JSHS,10.9,28.98,32.8,27.31
614,CAMBRIA,1223,FERNDALE EL SCH,15.15,38.06,30.07,16.71
615,DAUPHIN,8005,FINK EL SCH,10.83,37.62,29.05,22.49
616,PHILADELPHIA,3739,FINLETTER THOMAS K SCH,2.46,19.63,31.24,46.61
617,CRAWFORD,1651,FIRST DISTRICT EL SCH,13.7,31.34,33.05,21.96
618,PHILADELPHIA,7744,FIRST PHILA CS FOR LITERACY,3.54,20.91,35.45,40.1
619,WASHINGTON,4207,FIRST STREET EL SCH,51.6,32.95,10.02,5.38
620,YORK,4583,FISHING CREEK EL SCH,17.73,42.71,26.31,13.26
621,BUCKS,1018,FITCH EL SCH,6.51,28.39,32.41,32.68
622,PHILADELPHIA,6913,FITLER ACADEMICS PLUS,4.07,22.93,38.55,34.45
623,PHILADELPHIA,3781,FITZPATRICK ALOYSIUS,7.13,31.22,29.37,32.28
624,MONTGOMERY,3385,FITZWATER EL SCH,40.57,37.3,15.92,6.21
625,NORTHAMPTON,5099,FIVE POINTS EL SCH,29.1,37.02,22.16,11.76
626,BERKS,6311,FLEETWOOD MS,18.03,37.09,28.98,15.9
627,MCKEAN,3092,FLOYD FRETZ MD SCH,15.99,33.33,31.95,18.78
628,LEHIGH,4672,FOGELSVILLE SCH,39.39,38.48,17.99,4.14
629,PHILADELPHIA,7857,FOLK ARTS-CULTURAL TREASURES CS,28.79,33.52,24.23,13.52
630,DAUPHIN,1766,FOOSE  SCH,4.47,15.76,25.31,54.47
631,BLAIR,7381,FOOT OF TEN EL SCH,25.52,41.26,20.31,12.91
632,FULTON,6840,FORBES ROAD EL SCH,30.33,39.32,21.8,8.51
633,FULTON,2246,FORBES ROAD JSHS,31.31,28.71,25.21,14.81
634,SUSQUEHANNA,6420,FOREST CITY REG EL,22.23,36.46,27.13,14.23
635,SUSQUEHANNA,6419,FOREST CITY REG HS,13.17,32.03,33.34,21.51
636,CAMBRIA,6899,FOREST HILLS EL SCH,27.32,35.48,25.49,11.71
637,CAMBRIA,1287,FOREST HILLS MS,13.83,37.39,27.33,21.41
638,LEBANON,2761,FORGE ROAD EL SCH,31.73,41.96,18.5,7.81
639,PHILADELPHIA,3764,FORREST EDWIN SCH,4.81,24.35,31.39,39.48
640,WESTMORELAND,4389,FORT ALLEN EL SCH,28.45,38.63,21.56,11.4
641,WASHINGTON,7187,FORT CHERRY EL CTR,20.24,41.56,25.46,12.71
642,WASHINGTON,4242,FORT CHERRY JSHS,9.2,32.86,33.1,24.84
643,ALLEGHENY,491,FORT COUCH MS,37.78,40.32,16.31,5.57
644,ERIE,5328,FORT LEBOEUF MS,26.87,37.05,22.9,13.19
645,MONTGOMERY,5251,FORT WASHINGTON EL SCH,39.24,41.52,13.98,5.27
646,ALLEGHENY,249,FOSTER EL SCH,45.73,42.35,10.42,1.55
647,ALLEGHENY,7673,FOUNDERS HALL SCH,3.73,17.25,33.1,45.98
648,NORTHAMPTON,6723,FOUNTAIN HILL EL SCH,4.52,22.34,35.87,37.28
649,COLUMBIA,1602,FOURTEENTH STREET EL,30.99,38.87,19.89,10.18
650,PHILADELPHIA,3765,FOX CHASE SCH,10.67,37.23,30.29,21.86
651,ELK,1991,FOX TWP EL SCH,43.59,41.91,10.06,4.47
652,LACKAWANNA,2474,FRANCES WILLARD NO 32,17.66,40.42,27.0,14.93
